duration_months,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,credit_risk
-1.5208553429243887,-1.052814296997844,1.2764333264981618,1.3344913643163705,1.2211309170891023,0.3999383953886557,-0.06010578012096208,1,3,5,0,1,0,2,2,2,1,3,1,0,1
0.23425901339162325,-1.1319676489146115,1.2764333264981618,-1.3011071168877844,-1.4600543119428375,1.2946551635959391,1.166542793776225,1,1,6,2,2,0,0,3,2,0,1,1,0,1
-1.0820767538453857,-0.5613891143576439,0.3979520281511818,-0.4225742898197327,1.1615490231106147,-0.4947783728186277,-0.06010578012096208,1,1,1,4,3,4,0,1,2,0,2,1,0,1
-0.05826004599437874,-1.6629695075131952,1.2764333264981618,1.3344913643163705,-1.1621448420504,-1.389495141025911,-0.06010578012096208,1,1,5,3,3,3,0,3,0,0,3,1,0,1
-1.472102166360055,0.7059518857267434,1.2764333264981618,-0.4225742898197327,0.5657300833257392,-0.4947783728186277,-1.286754354018149,3,4,0,3,4,3,0,3,2,0,1,0,0,1
-1.5208553429243887,-1.5399801064407292,1.2764333264981618,1.3344913643163705,-1.40047241796435,-0.4947783728186277,-1.286754354018149,2,2,9,1,2,3,0,2,2,1,2,1,0,1
1.3555820743712976,-1.0822749616126048,1.2764333264981618,-0.4225742898197327,-1.2217267360288875,0.3999383953886557,-1.286754354018149,1,2,1,1,4,4,2,0,2,0,2,1,0,0
-0.3995322819447144,0.7911393496730402,-1.3590105685427782,-0.4225742898197327,-0.3279983263515741,0.3999383953886557,1.166542793776225,3,2,7,2,4,1,0,3,0,1,3,1,0,1
1.0630630149852955,1.3074108759642435,1.2764333264981618,0.4559585372483189,0.6848938712827143,-1.389495141025911,-1.286754354018149,2,3,9,4,3,2,1,1,2,1,2,0,1,1
0.7217907790349599,-1.4207176569159135,-1.3590105685427782,0.4559585372483189,-1.2217267360288875,-1.389495141025911,1.166542793776225,1,2,0,3,2,0,0,1,0,0,3,0,0,1
1.4043352509356313,0.7316855987938539,-1.3590105685427782,-1.3011071168877844,1.399876599024565,0.3999383953886557,-0.06010578012096208,2,1,7,4,3,0,0,1,2,1,2,1,0,1
0.38051854308462424,-0.9308897392247065,0.3979520281511818,-0.4225742898197327,1.1615490231106147,0.3999383953886557,-0.06010578012096208,1,2,10,2,2,1,0,3,2,0,3,1,0,1
1.5993479571929659,-0.8680639845643127,-0.4805292701957982,0.4559585372483189,0.8040576592396893,-1.389495141025911,-1.286754354018149,1,2,4,4,4,3,0,2,2,1,3,1,0,1
-0.3507791053803807,-1.2831753974192883,-0.4805292701957982,1.3344913643163705,-1.5792180998998127,-0.4947783728186277,-1.286754354018149,3,1,5,3,2,2,0,2,2,1,3,1,0,1
0.18550583682728958,-1.3520352641092117,-0.4805292701957982,-0.4225742898197327,1.2807128110675898,1.2946551635959391,-0.06010578012096208,1,1,1,0,1,3,0,1,2,0,1,1,0,0
0.8192971321636272,0.8988659967884615,-0.4805292701957982,0.4559585372483189,0.6848938712827143,0.3999383953886557,-1.286754354018149,0,1,9,0,3,2,0,0,2,1,1,1,0,0
-0.6432981647663827,0.6078088283052806,-1.3590105685427782,-1.3011071168877844,-1.4600543119428375,1.2946551635959391,-0.06010578012096208,1,1,2,1,3,0,1,3,2,1,3,0,0,1
1.1118161915496292,-0.5521604724301284,0.3979520281511818,-1.3011071168877844,-1.40047241796435,0.3999383953886557,-1.286754354018149,1,3,0,1,3,1,0,1,2,1,1,1,0,0
-0.594544988202049,0.3715910897375282,0.3979520281511818,-0.4225742898197327,-0.030088856459136365,0.3999383953886557,1.166542793776225,0,2,2,1,2,4,1,2,2,1,1,0,0,1
0.4780248962132916,1.6213621753829919,1.2764333264981618,0.4559585372483189,-0.8046534781794745,-0.4947783728186277,1.166542793776225,2,2,3,1,4,4,0,2,2,1,2,1,0,1
0.8680503087279609,0.48304468840059994,1.2764333264981618,0.4559585372483189,0.982803341175152,1.2946551635959391,1.166542793776225,0,4,0,4,3,3,0,2,2,1,2,0,0,0
-1.6671148726173897,0.46299013959657587,-1.3590105685427782,0.4559585372483189,-1.519636205921325,0.3999383953886557,1.166542793776225,1,1,10,0,3,3,1,1,0,0,2,0,0,1
0.2830121899559569,0.6086961977213878,0.3979520281511818,-1.3011071168877844,0.8040576592396893,-1.389495141025911,1.166542793776225,2,1,0,3,1,3,0,1,2,0,1,1,1,1
-1.2770894601027203,1.5588913684890409,0.3979520281511818,0.4559585372483189,0.8636395532181769,1.2946551635959391,1.166542793776225,1,2,7,1,3,1,0,2,0,0,2,0,0,0
0.03924630713428859,-1.003299083579059,1.2764333264981618,0.4559585372483189,1.1615490231106147,1.2946551635959391,1.166542793776225,0,3,7,1,2,3,0,2,0,0,3,1,0,0
0.8192971321636272,-1.349018208094447,-1.3590105685427782,-0.4225742898197327,0.32740250741178895,-0.4947783728186277,-1.286754354018149,1,1,3,1,0,0,0,2,0,0,2,1,0,0
1.3555820743712976,0.7781837561978743,0.3979520281511818,-0.4225742898197327,-1.1621448420504,1.2946551635959391,-1.286754354018149,1,1,9,1,3,4,0,1,2,0,2,1,0,0
1.5505947806286322,-1.1041042492488435,-1.3590105685427782,-1.3011071168877844,1.5786222809600274,0.3999383953886557,-1.286754354018149,1,3,6,0,3,4,0,1,1,1,2,1,1,0
-0.44828545850904805,0.24345494605164,-0.4805292701957982,1.3344913643163705,0.5657300833257392,-0.4947783728186277,1.166542793776225,1,2,3,0,1,0,0,0,2,0,2,1,0,1
